"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"McIsaac G.F.; Hodson T.O.; Markus M.; Bhattarai R.; Kim D.C.","McIsaac, Gregory F. (7004056390); Hodson, Timothy O. (57773252700); Markus, Momcilo (7103062158); Bhattarai, Rabin (21233601100); Kim, Daniel Chulgi (57861758800)","7004056390; 57773252700; 7103062158; 21233601100; 57861758800","Spatial and Temporal Variations in Phosphorus Loads in the Illinois River Basin, Illinois USA","2023","Journal of the American Water Resources Association","59","3","","523","538","15","0","10.1111/1752-1688.13054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136610948&doi=10.1111%2f1752-1688.13054&partnerID=40&md5=43c7bf71e3379b992aee831862a512d8","John Wiley and Sons Inc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85136610948"
"Mascaro G.; Hussein A.; Dugger A.; Gochis D.J.","Mascaro, Giuseppe (25226581600); Hussein, Abdinur (57955297700); Dugger, Aubrey (36970501500); Gochis, David J. (6602948135)","25226581600; 57955297700; 36970501500; 6602948135","Process-based calibration of WRF-Hydro in a mountainous basin in southwestern U.S.","2023","Journal of the American Water Resources Association","59","1","","49","70","21","0","10.1111/1752-1688.13076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141342297&doi=10.1111%2f1752-1688.13076&partnerID=40&md5=f924eb9111937f494e04bf0c44b3975f","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85141342297"
"Ayres A.; Adams T.; Carron J.; Cohen M.; Saracino A.","Ayres, Andrew (57203152276); Adams, Taylor (7203080985); Carron, John (57912259500); Cohen, Michael (58347334400); Saracino, Anthony (57911056600)","57203152276; 7203080985; 57912259500; 58347334400; 57911056600","Potential impacts of reduced inflows to the Salton Sea: Forecasting non-market damages","2022","Journal of the American Water Resources Association","58","6","","1128","1148","20","2","10.1111/1752-1688.13063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138235312&doi=10.1111%2f1752-1688.13063&partnerID=40&md5=20eaa598ead0e6550f65699317d265fa","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85138235312"
"Cerco C.F.","Cerco, Carl F. (7004208829)","7004208829","Featured Collection introduction: Climate change in Chesapeake Bay","2022","Journal of the American Water Resources Association","58","6","","785","789","4","0","10.1111/1752-1688.13087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143391824&doi=10.1111%2f1752-1688.13087&partnerID=40&md5=68b1737dfa438411f5779d69c379f7f8","John Wiley and Sons Inc","Editorial","Final","","Scopus","2-s2.0-85143391824"
"Moore R.B.; Belitz K.; Ayotte J.; Arnold T.L.; Hayes L.; Sharpe J.B.; Starn J.J.","Moore, Richard B. (56300410200); Belitz, Kenneth (6701495097); Ayotte, Joseph (6602708583); Arnold, Terri L. (7103361201); Hayes, Laura (57198130953); Sharpe, Jennifer B. (57203586874); Starn, Jeffrey J. (36618177400)","56300410200; 6701495097; 6602708583; 7103361201; 57198130953; 57203586874; 36618177400","Predicted uranium and radon concentrations in New Hampshire (USA) groundwater—Using Multi Order Hydrologic Position as predictors","2023","Journal of the American Water Resources Association","59","1","","127","145","18","0","10.1111/1752-1688.13075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141405432&doi=10.1111%2f1752-1688.13075&partnerID=40&md5=e5a3a33a8cb71e61e1c15206f063ca83","John Wiley and Sons Inc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85141405432"
"Pamula A.S.P.; Gholizadeh H.; Krzmarzick M.J.; Mausbach W.E.; Lampert D.J.","Pamula, Abhiram S. P. (57219297636); Gholizadeh, Hamed (54400972500); Krzmarzick, Mark J. (54892799900); Mausbach, William E. (55329069800); Lampert, David J. (55892381900)","57219297636; 54400972500; 54892799900; 55329069800; 55892381900","A remote sensing tool for near real-time monitoring of harmful algal blooms and turbidity in reservoirs","2023","Journal of the American Water Resources Association","","","","","","","0","10.1111/1752-1688.13121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150947175&doi=10.1111%2f1752-1688.13121&partnerID=40&md5=398a40bda5837ec0f8997c99d7d21cc6","John Wiley and Sons Inc","Article","Article in press","","Scopus","2-s2.0-85150947175"
"Zhou Y.; Zhang D.; Zhou P.; Wang Z.; Yang P.; Jin J.; Cui Y.; Ning S.","Zhou, Yuliang (35147406500); Zhang, Dong (57222171235); Zhou, Ping (57212949569); Wang, Zhaoli (35206981200); Yang, Pan (57188986779); Jin, Juliang (55821195600); Cui, Yi (56697717500); Ning, Shaowei (36562256300)","35147406500; 57222171235; 57212949569; 35206981200; 57188986779; 55821195600; 56697717500; 36562256300","Copula-Based Bivariate Return Period Analysis and Its Implication to Hydrological Design Event","2023","Journal of the American Water Resources Association","59","3","","571","583","12","2","10.1111/1752-1688.12943","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113187807&doi=10.1111%2f1752-1688.12943&partnerID=40&md5=3726db8f7960f3ce9a8b1426bbcff1ce","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85113187807"
"Hendricks M.D.; Dowtin A.L.","Hendricks, Marccus D. (57200183962); Dowtin, Asia L. (56744745700)","57200183962; 56744745700","Come hybrid or high water: Making the case for a Green–Gray approach toward resilient urban stormwater management","2023","Journal of the American Water Resources Association","","","","","","","0","10.1111/1752-1688.13112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149299896&doi=10.1111%2f1752-1688.13112&partnerID=40&md5=1d80c15533b57d702de4f7ae721a01a3","John Wiley and Sons Inc","Note","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85149299896"
"Abrams D.B.; Cullen C.; Ghiami Shomami F.","Abrams, Daniel B. (36616869500); Cullen, Cecilia (57224090676); Ghiami Shomami, Fereshteh (57202340039)","36616869500; 57224090676; 57202340039","What is a static head measurement? Evaluating structural error and implications for regional groundwater modeling","2023","Journal of the American Water Resources Association","59","3","","481","497","16","0","10.1111/1752-1688.13102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146994859&doi=10.1111%2f1752-1688.13102&partnerID=40&md5=7cdfa58b3fa7f82f7cc65ea19580efba","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85146994859"
"Mosquin P.L.; Aldworth J.; Chen W.; Grant S.","Mosquin, Paul L. (11640367200); Aldworth, Jeremy (24079972400); Chen, Wenlin (55716009900); Grant, Shanique (57194197379)","11640367200; 24079972400; 55716009900; 57194197379","Evaluation of streamflow as a covariate in models for predicting daily pesticide concentrations","2023","Journal of the American Water Resources Association","","","","","","","0","10.1111/1752-1688.13138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161635840&doi=10.1111%2f1752-1688.13138&partnerID=40&md5=e69eb4e200cc86b0b96361679c0ec5de","John Wiley and Sons Inc","Article","Article in press","","Scopus","2-s2.0-85161635840"
"Pierce S.; Schilling K.E.","Pierce, Sophie (57902233200); Schilling, Keith E. (7103381012)","57902233200; 7103381012","Nutrient retention in tile-fed and non-tile reconstructed oxbows in north central Iowa","2023","Journal of the American Water Resources Association","","","","","","","0","10.1111/1752-1688.13124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160356891&doi=10.1111%2f1752-1688.13124&partnerID=40&md5=c77bd7751ba4c0bc84b80e6adc82a37d","John Wiley and Sons Inc","Article","Article in press","","Scopus","2-s2.0-85160356891"
"Gao Y.; Liu Y.; Gao L.; Wu M.; Intriago Gordillo J.R.; Xue Z.; Chen S.","Gao, Yuqin (55568236600); Liu, Yunping (57204977240); Gao, Li (58069607800); Wu, Ming (58070197800); Intriago Gordillo, Jhandre Ronald (58070197900); Xue, Zheng (58069730600); Chen, Shuning (58070080700)","55568236600; 57204977240; 58069607800; 58070197800; 58070197900; 58069730600; 58070080700","Change of stream network connectivity under polder-type flood control measure","2023","Journal of the American Water Resources Association","","","","","","","0","10.1111/1752-1688.13094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146470682&doi=10.1111%2f1752-1688.13094&partnerID=40&md5=62f14de61fef9b24e5c995aa9e9d5e63","John Wiley and Sons Inc","Article","Article in press","","Scopus","2-s2.0-85146470682"
"Ni W.; Mittelstet A.R.; Messer T.L.; Tang Y.","Ni, Weijia (57845039600); Mittelstet, Aaron R. (35622280200); Messer, Tiffany L. (36680198800); Tang, Ya (57844782400)","57845039600; 35622280200; 36680198800; 57844782400","Impact of Climate and Land Use Change on Economic Development in the Baoxing River Watershed in Giant Panda National Park","2022","Journal of the American Water Resources Association","58","6","","1561","1574","13","0","10.1111/1752-1688.13057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135886707&doi=10.1111%2f1752-1688.13057&partnerID=40&md5=b2c65ff7feb275f22ee2b034cd40b84e","John Wiley and Sons Inc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85135886707"
"Doyle J.M.; Hill R.A.; Leibowitz S.G.; Ebersole J.L.","Doyle, Jessie M. (56839627100); Hill, Ryan A. (56420591200); Leibowitz, Scott G. (7102966233); Ebersole, Joseph L. (7101840247)","56839627100; 56420591200; 7102966233; 7101840247","Random forest models to estimate bankfull and low flow channel widths and depths across the conterminous United States","2023","Journal of the American Water Resources Association","","","","","","","0","10.1111/1752-1688.13116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150882601&doi=10.1111%2f1752-1688.13116&partnerID=40&md5=fcc7dfe8e39d43500536de4b084687f5","John Wiley and Sons Inc","Article","Article in press","","Scopus","2-s2.0-85150882601"
"Mulvaney K.K.; Merrill N.H.; Atkinson S.F.","Mulvaney, Kate K. (55559402200); Merrill, Nathaniel H. (56007066900); Atkinson, Sarina F. (57211926536)","55559402200; 56007066900; 57211926536","Considerations for using alternative technologies in nutrient management on Cape Cod: Beyond cost and performance","2023","Journal of the American Water Resources Association","59","2","","226","243","17","1","10.1111/1752-1688.13079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141999850&doi=10.1111%2f1752-1688.13079&partnerID=40&md5=432cb127f5c8dae2e468e4e8100478c4","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85141999850"
"Yang Y.; Fei C.J.; McCarl B.A.","Yang, Yingqian (57224547243); Fei, Chengcheng J. (57195362772); McCarl, Bruce A. (7005687334)","57224547243; 57195362772; 7005687334","Changes in electrical generator cooling systems: Are they cost-effective sources of water now and under climate change?","2023","Journal of the American Water Resources Association","","","","","","","0","10.1111/1752-1688.13111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149917771&doi=10.1111%2f1752-1688.13111&partnerID=40&md5=074173b2b52b8b9f495d43469be00932","John Wiley and Sons Inc","Article","Article in press","","Scopus","2-s2.0-85149917771"
"McCabe G.J.; Wolock D.M.","McCabe, Gregory J. (7006820544); Wolock, David M. (6701763216)","7006820544; 6701763216","Water balance characterization of the early 21st century drought in the western United States","2023","Journal of the American Water Resources Association","","","","","","","0","10.1111/1752-1688.13125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153173513&doi=10.1111%2f1752-1688.13125&partnerID=40&md5=c6a1ee462eac266e56a0056cfdfe509b","John Wiley and Sons Inc","Article","Article in press","","Scopus","2-s2.0-85153173513"
"Zhang Z.; Getahun E.; Mu M.; Chandrasekaran S.","Zhang, Zhenxing (55721871100); Getahun, Elias (9636358600); Mu, Mengfei (57193685323); Chandrasekaran, Sangeetha (57540239700)","55721871100; 9636358600; 57193685323; 57540239700","Water Supply Planning Considering Uncertainties in Future Water Demand and Climate: A Case Study in an Illinois Watershed","2023","Journal of the American Water Resources Association","59","3","","449","465","16","1","10.1111/1752-1688.12948","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110180171&doi=10.1111%2f1752-1688.12948&partnerID=40&md5=eedaa2e15a92150dc7aeeb43fe41ae59","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85110180171"
"Mosquin P.L.; Aldworth J.; Kott P.S.; Chen W.; Grant S.","Mosquin, Paul L. (11640367200); Aldworth, Jeremy (24079972400); Kott, Phillip S. (6601989817); Chen, Wenlin (55716009900); Grant, Shanique (57194197379)","11640367200; 24079972400; 6601989817; 55716009900; 57194197379","Estimating upper percentiles of surface water monitoring data with sparse samples","2023","Journal of the American Water Resources Association","59","1","","16","28","12","0","10.1111/1752-1688.13064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139797591&doi=10.1111%2f1752-1688.13064&partnerID=40&md5=a41132b0c2273723cfdf76c4d5d9d9da","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85139797591"
"Bobst A.L.; Payn R.A.; Shaw G.D.","Bobst, Andrew L. (7003781646); Payn, Robert A. (24385882600); Shaw, Glenn D. (55683697700)","7003781646; 24385882600; 55683697700","Groundwater-Mediated Influences of Beaver-Mimicry Stream Restoration: A Modeling Analysis","2022","Journal of the American Water Resources Association","58","6","","1388","1406","18","0","10.1111/1752-1688.13044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134623538&doi=10.1111%2f1752-1688.13044&partnerID=40&md5=3c78bbfd2b6b194f0880467b0677f852","John Wiley and Sons Inc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85134623538"
"Georgiadis N.J.; Baker J.E.","Georgiadis, Nicholas J. (7003307127); Baker, Joel E. (7404127971)","7003307127; 7404127971","A multidecadal oscillation in precipitation and temperature series is pronounced in low flow series from Puget Sound streams","2023","Journal of the American Water Resources Association","","","","","","","0","10.1111/1752-1688.13129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158076678&doi=10.1111%2f1752-1688.13129&partnerID=40&md5=540ef70b9f859ac16cc651a2dcda87c9","John Wiley and Sons Inc","Article","Article in press","","Scopus","2-s2.0-85158076678"
"Goodrum G.C.; Null S.E.","Goodrum, Gregory C. (57221591416); Null, Sarah E. (57203405071)","57221591416; 57203405071","Reduced complexity models for regional aquatic habitat suitability assessment","2023","Journal of the American Water Resources Association","59","1","","107","126","19","0","10.1111/1752-1688.13077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141436379&doi=10.1111%2f1752-1688.13077&partnerID=40&md5=e57b2f9f7e150047e80ed5f6017c7438","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85141436379"
"Ali A.A.; Tran D.Q.; Kovacs K.F.; Dahlke H.E.","Ali, Ahmed A. (57695567100); Tran, Dat Q. (57196456542); Kovacs, Kent F. (8324669900); Dahlke, Helen E. (16645385100)","57695567100; 57196456542; 8324669900; 16645385100","Hydro-economic modeling of managed aquifer recharge in the lower Mississippi","2023","Journal of the American Water Resources Association","","","","","","","0","10.1111/1752-1688.13141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163119428&doi=10.1111%2f1752-1688.13141&partnerID=40&md5=d2d66156cef9806481c1a1168217a19f","John Wiley and Sons Inc","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85163119428"
"Seigerman C.K.; McKay S.K.; Basilio R.; Biesel S.A.; Hallemeier J.; Mansur A.V.; Piercy C.; Rowan S.; Ubiali B.; Yeates E.; Nelson D.R.","Seigerman, Cydney K. (55676224000); McKay, S. Kyle (56988809300); Basilio, Raul (57777629400); Biesel, Shelly A. (57197762314); Hallemeier, Jon (57994796400); Mansur, Andressa V. (57183792700); Piercy, Candice (23985631000); Rowan, Sebastian (57994013700); Ubiali, Bruno (57193529542); Yeates, Elissa (57300806500); Nelson, Donald R. (55464974200)","55676224000; 56988809300; 57777629400; 57197762314; 57994796400; 57183792700; 23985631000; 57994013700; 57193529542; 57300806500; 55464974200","Operationalizing equity for integrated water resources management","2023","Journal of the American Water Resources Association","59","2","","281","298","17","1","10.1111/1752-1688.13086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143386412&doi=10.1111%2f1752-1688.13086&partnerID=40&md5=75a160a0e62bf1c86056999b92ceea7d","John Wiley and Sons Inc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85143386412"
"Restrepo-Osorio D.L.; Stoltz A.D.; Herman-Mercer N.M.","Restrepo-Osorio, Diana L. (57204359759); Stoltz, Amanda D. (57855464500); Herman-Mercer, Nicole M. (50761136800)","57204359759; 57855464500; 50761136800","Stakeholder Engagement to Guide Decision-Relevant Water Data Delivery","2022","Journal of the American Water Resources Association","58","6","","1531","1544","13","1","10.1111/1752-1688.13055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136484119&doi=10.1111%2f1752-1688.13055&partnerID=40&md5=b212478f997eeeeb9fceae2f5f84fd89","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85136484119"
"Gao H.; Liu J.; Mei C.; Wang H.; Shao W.; Liu C.","Gao, Han (57219745141); Liu, Jiahong (47962312500); Mei, Chao (57194544943); Wang, Hao (36619287400); Shao, Weiwei (19934753900); Liu, Chuang (57223230361)","57219745141; 47962312500; 57194544943; 36619287400; 19934753900; 57223230361","Using nighttime light data to estimate water evaporation inside buildings in China's urban areas","2023","Journal of the American Water Resources Association","","","","","","","0","10.1111/1752-1688.13106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148366448&doi=10.1111%2f1752-1688.13106&partnerID=40&md5=a4a2f253b5ccbf0cc271b1d4da858410","John Wiley and Sons Inc","Article","Article in press","","Scopus","2-s2.0-85148366448"
"Getahun E.; Keefer L.L.","Getahun, Elias (9636358600); Keefer, Laura L. (8140474900)","9636358600; 8140474900","Assessing the Effectiveness of Winter Cover Crops for Controlling Agricultural Nutrient Losses","2023","Journal of the American Water Resources Association","59","3","","510","522","12","0","10.1111/1752-1688.13058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136246802&doi=10.1111%2f1752-1688.13058&partnerID=40&md5=016d7bf9486304d263d966a93af7d84a","John Wiley and Sons Inc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85136246802"
"Artruc T.; Tullos D.; Leshchinsky B.","Artruc, Tessa (57930631300); Tullos, Desiree (13806092900); Leshchinsky, Ben (26640430500)","57930631300; 13806092900; 26640430500","Effects of drawdown scenario on retrogressive lateral erosion in a reservoir","2023","Journal of the American Water Resources Association","59","1","","86","106","20","0","10.1111/1752-1688.13069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140043371&doi=10.1111%2f1752-1688.13069&partnerID=40&md5=12830d1c7db28f75f12c3c0c7427e038","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85140043371"
"Stepenuck K.F.; Carr J.","Stepenuck, Kristine F. (6507028797); Carr, Jill (57329283900)","6507028797; 57329283900","Early Influence of the COVID-19 Pandemic on Volunteer Water Monitoring Programs in the United States and Canada","2022","Journal of the American Water Resources Association","58","6","","1377","1387","10","1","10.1111/1752-1688.13043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133606686&doi=10.1111%2f1752-1688.13043&partnerID=40&md5=1c6879191a6b121e1bdf7de45fb7e992","John Wiley and Sons Inc","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85133606686"
"Markus M.; Angel J.; Woolford K.; Wang K.; Singh S.; Kerschner B.","Markus, Momcilo (7103062158); Angel, James (7101775656); Woolford, Kurt (57725340700); Wang, Kexuan (57724686400); Singh, Shailendra (58262808300); Kerschner, Brian (56768163700)","7103062158; 7101775656; 57725340700; 57724686400; 58262808300; 56768163700","Illinois State Water Survey Bulletin 75: New Precipitation Frequency Study for Illinois","2023","Journal of the American Water Resources Association","59","3","","466","480","14","0","10.1111/1752-1688.13031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131262932&doi=10.1111%2f1752-1688.13031&partnerID=40&md5=29a81def171df532ca68683342d68699","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85131262932"
"Federman C.E.; Scott D.T.; Hester E.T.","Federman, Carly E. (57955970000); Scott, Durelle T. (7404952639); Hester, Erich T. (24171173900)","57955970000; 7404952639; 24171173900","Impact of floodplain and Stage 0 stream restoration on flood attenuation and floodplain exchange during small frequent storms","2023","Journal of the American Water Resources Association","59","1","","29","48","19","0","10.1111/1752-1688.13073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141413417&doi=10.1111%2f1752-1688.13073&partnerID=40&md5=01f6704a85fb531ee3338e5fa18046d6","John Wiley and Sons Inc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85141413417"
"Torbenson M.C.A.; Stahle D.W.; Howard I.M.; Blackstock J.M.; Cleaveland M.K.; Stagge J.H.","Torbenson, Max C. A. (56996966900); Stahle, David W. (7004236861); Howard, Ian M. (56706993700); Blackstock, Joshua M. (57212444812); Cleaveland, Malcolm K. (6603768180); Stagge, James H. (54388260300)","56996966900; 7004236861; 56706993700; 57212444812; 6603768180; 54388260300","Pre-instrumental perspectives on Arkansas River cross-watershed flow variability","2023","Journal of the American Water Resources Association","59","1","","1","15","14","0","10.1111/1752-1688.13068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139944881&doi=10.1111%2f1752-1688.13068&partnerID=40&md5=6777767bebb76fefa831971a18182d3b","John Wiley and Sons Inc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85139944881"
"Di Vittorio C.A.; Moerk M.; Kreutzberger W.","Di Vittorio, Courtney A. (57196485911); Moerk, Michael (58235921400); Kreutzberger, William (6505860642)","57196485911; 58235921400; 6505860642","Enhancing perspectives on lake impairments using satellite observations: A case study on High Rock Lake, North Carolina","2023","Journal of the American Water Resources Association","","","","","","","0","10.1111/1752-1688.13127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85157990321&doi=10.1111%2f1752-1688.13127&partnerID=40&md5=9dff41ebd05b95f89a9c55794dc0fd36","John Wiley and Sons Inc","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85157990321"
