Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Whitney, K.M., Vivoni, E.R., Wang, Z., White, D.D., Quay, R., Mahmoud, M.I., Templeton, N.P.",57525285100;6603256951;57192202978;55456557900;7004071741;55112745700;58195161700;,A Stakeholder-Engaged Approach to Anticipating Forest Disturbance Impacts in the Colorado River Basin under Climate Change,2023,Journal of Water Resources Planning and Management,149,7,4023020,,,,,10.1061/JWRMD5.WRENG-5905,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153500804&doi=10.1061%2fJWRMD5.WRENG-5905&partnerID=40&md5=99b9eff4409938f415839e80dc208db2,Article,Final,,Scopus,2-s2.0-85153500804
"Deuerlein, J.W., Elhay, S., Piller, O., Simpson, A.R.",23972116900;6603023411;23091947000;7402780493;,Modeling Flow and Pressure Control in Water Distribution Systems Using the Nash Equilibrium,2023,Journal of Water Resources Planning and Management,149,6,04023019-1,,,,,10.1061/JWRMD5.WRENG-5889,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152018984&doi=10.1061%2fJWRMD5.WRENG-5889&partnerID=40&md5=a34cc2f229a46b7f09bac30be4801782,Article,Final,,Scopus,2-s2.0-85152018984
"Hubbard, M.L., Castellano, R.L.S.",55943375500;56401202000;,Rural and Urban Difference in the Acceptance of Alternative Water Management Strategies: Case Study of Idaho Residents,2023,Journal of Water Resources Planning and Management,149,6,5023003,,,,,10.1061/JWRMD5.WRENG-5503,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150853163&doi=10.1061%2fJWRMD5.WRENG-5503&partnerID=40&md5=0cd77c59e3c69a7118885aafc4662a69,Article,Final,,Scopus,2-s2.0-85150853163
"Neville, J.A., Emanuel, R.E., Ardón, M., Pavelsky, T.",57385248500;16244595900;12788079100;6504512777;,Location and Design of Flow Control Structures Differentially Influence Salinity Patterns in Small Artificial Drainage Systems,2023,Journal of Water Resources Planning and Management,149,6,5023002,,,,,10.1061/JWRMD5.WRENG-5840,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150681398&doi=10.1061%2fJWRMD5.WRENG-5840&partnerID=40&md5=e45e0fea86e8f94e440d12128e56fcd9,Article,Final,,Scopus,2-s2.0-85150681398
"Zhang, Y., Wang, Y., Sun, S., Chen, X.",57110004700;58153577900;58153480900;58153512000;,"Quantifying Interregional Flows of Ecosystem Services to Enhance Water Security in the Yellow River Basin, China",2023,Journal of Water Resources Planning and Management,149,6,4023018,,,,,10.1061/JWRMD5.WRENG-5891,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150676657&doi=10.1061%2fJWRMD5.WRENG-5891&partnerID=40&md5=55c8437fa2218d8a242b18185028db47,Article,Final,,Scopus,2-s2.0-85150676657
"Osina Torres, M., Tilmant, A., Valdez Medina, E., Anctil, F., Ramos, M.-H.",58147259600;15822801300;57192024501;7003723388;9638664600;,Hydropower System Operation and the Quality of Short-Term Hydrologic Ensemble Forecasts,2023,Journal of Water Resources Planning and Management,149,5,4023016,,,,,10.1061/JWRMD5.WRENG-5608,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150371111&doi=10.1061%2fJWRMD5.WRENG-5608&partnerID=40&md5=2944fbfaecb7178d37c1b6bc8e050e6d,Article,Final,,Scopus,2-s2.0-85150371111
"Jun, S., Lansey, K.E.",57858375700;7006358548;,Linear Programming Models for Leak Detection and Localization in Water Distribution Networks,2023,Journal of Water Resources Planning and Management,149,5,4023017,,,,1,10.1061/JWRMD5.WRENG-5720,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150252550&doi=10.1061%2fJWRMD5.WRENG-5720&partnerID=40&md5=eeb34722e56a1b52f7b9e1b213a366c1,Article,Final,,Scopus,2-s2.0-85150252550
"Rougé, C., Peñuela, A., Pianosi, F.",55513683800;56034237200;24166895100;,Forecast Families: A New Method to Systematically Evaluate the Benefits of Improving the Skill of an Existing Forecast,2023,Journal of Water Resources Planning and Management,149,5,4023015,,,,,10.1061/JWRMD5.WRENG-5934,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150064161&doi=10.1061%2fJWRMD5.WRENG-5934&partnerID=40&md5=ac8b69b8829aeee1b6bf9252971e0ac9,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85150064161
"Rodríguez-Martínez, C., Quiñones-Grueiro, M., Llanes-Santiago, O.",57351485200;57188332100;6602930076;,Cyberattack Diagnosis in Water Distribution Networks Combining Data-Driven and Structural Analysis Methods,2023,Journal of Water Resources Planning and Management,149,5,4023013,,,,,10.1061/JWRMD5.WRENG-5302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149340588&doi=10.1061%2fJWRMD5.WRENG-5302&partnerID=40&md5=75857b7a594f492fbf37cdab50ffff1c,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85149340588
"Du, X.-X., Lambert, M.F., Chen, L., Hu, E.",57219033319;24923543300;7409438625;7102216806;,Approach for Near-Real-Time Pipe Burst Detection and Location Estimation Utilizing Any Sequence of Harmonics of the Transient Pressure Signal,2023,Journal of Water Resources Planning and Management,149,5,4023014,,,,,10.1061/JWRMD5.WRENG-5930,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149329510&doi=10.1061%2fJWRMD5.WRENG-5930&partnerID=40&md5=a352e954e8f10aef2c2e060168c85fce,Article,Final,,Scopus,2-s2.0-85149329510
"Díaz, S., Boxall, J., Lamarche, L., González, J.",57188870707;7004902724;6701368785;57193352394;,The Impact of Ground Heat Capacity on Drinking Water Temperature,2023,Journal of Water Resources Planning and Management,149,5,4023012,,,,,10.1061/JWRMD5.WRENG-5869,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149310285&doi=10.1061%2fJWRMD5.WRENG-5869&partnerID=40&md5=b34778e1fb2afc6d79d91a1280a6d006,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85149310285
"Hawley, R.J., Thomas, J.A., Acosta, S.N.",38961481800;57225884115;58126085900;,Watershed-Scale Strategies to Increase Resilience to Climate-Driven Changes to Surface Waters: North American Electric Power Sector Case Study,2023,Journal of Water Resources Planning and Management,149,5,5023001,,,,,10.1061/JWRMD5.WRENG-5768,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149289778&doi=10.1061%2fJWRMD5.WRENG-5768&partnerID=40&md5=ad8af269b56cede371530f136a7f1766,Article,Final,,Scopus,2-s2.0-85149289778
"Lukk, A.K., Lusardi, R.A., Willis, A.D.",58126473400;25640288300;56126840600;,Water Management for Conservation and Ecosystem Function: Modeling the Prioritization of Source Water in a Working Landscape,2023,Journal of Water Resources Planning and Management,149,5,4023011,,,,,10.1061/JWRMD5.WRENG-5646,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149279133&doi=10.1061%2fJWRMD5.WRENG-5646&partnerID=40&md5=ee095e552c86f6ad3679aa290e2fc256,Article,Final,,Scopus,2-s2.0-85149279133
"Wang, S., Chakrabarty, A., Taha, A.F.",57205621034;36898321800;57203241232;,Data-Driven Identification of Dynamic Quality Models in Drinking Water Networks,2023,Journal of Water Resources Planning and Management,149,4,4023008,,,,,10.1061/JWRMD5.WRENG-5431,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148628009&doi=10.1061%2fJWRMD5.WRENG-5431&partnerID=40&md5=08c7e4fcda3123657e85142c6489e50a,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85148628009
"Ruiz, E., Díaz, S., González, J.",57548711800;57188870707;57193352394;,Decomposed Uncertainty Evaluation for Hydraulic State Estimation in Water Supply Systems,2023,Journal of Water Resources Planning and Management,149,4,4023006,,,,,10.1061/JWRMD5.WRENG-5924,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148108597&doi=10.1061%2fJWRMD5.WRENG-5924&partnerID=40&md5=75a333fd8b1d3fa32abb1b119e987b10,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85148108597
"Burkhardt, J.B., Minor, J., Platten, W.E., Shang, F., Murray, R.",56710980300;58103494600;36473642700;57219340350;35409986100;,Relative Water Age in Premise Plumbing Systems Using an Agent-Based Modeling Framework,2023,Journal of Water Resources Planning and Management,149,4,4023007,,,,,10.1061/JWRMD5.WRENG-5888,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148054121&doi=10.1061%2fJWRMD5.WRENG-5888&partnerID=40&md5=0eb237303ab9147e17edca1f74b41090,Article,Final,,Scopus,2-s2.0-85148054121
"Dalcin, A.P., Brêda, J.P.L.F., Marques, G.F., Tilmant, A., De Paiva, R.C.D., Kubota, P.Y.",57216954780;57197708435;7006311209;15822801300;57728772900;26537690400;,The Role of Reservoir Reoperation to Mitigate Climate Change Impacts on Hydropower and Environmental Water Demands,2023,Journal of Water Resources Planning and Management,149,4,4023005,,,,,10.1061/JWRMD5.WRENG-5810,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147040050&doi=10.1061%2fJWRMD5.WRENG-5810&partnerID=40&md5=da4520c8f4a51e020c76723a65abd1e1,Article,Final,,Scopus,2-s2.0-85147040050
"Del Teso, R., Gómez, E., Estruch-Juan, E., Cabrera, E.",57203007994;56825071900;57205078141;7006129633;,Minimum Energy Requirements of Pipeline Pumping,2023,Journal of Water Resources Planning and Management,149,4,6023001,,,,,10.1061/JWRMD5.WRENG-5656,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146988192&doi=10.1061%2fJWRMD5.WRENG-5656&partnerID=40&md5=2fec74ca99468c0bd024fffdf7ef0254,Article,Final,,Scopus,2-s2.0-85146988192
"Wang, H., Wanakule, N., Asefa, T., Erkyihun, S., Basdekas, L., Hayslett, R.",57218524336;56619616000;8404132000;57190018906;56037099000;58079924700;,Application of Multiobjective Optimization to Provide Operational Guidance for Allocating Supply among Multiple Sources,2023,Journal of Water Resources Planning and Management,149,4,4023004,,,,,10.1061/JWRMD5.WRENG-5827,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146880768&doi=10.1061%2fJWRMD5.WRENG-5827&partnerID=40&md5=0c50e9ff16c9ebad71198a4f82eae104,Article,Final,,Scopus,2-s2.0-85146880768
"Preeti, S., Poojitha, S.N., Jothiprakash, V.",58065357800;57219219213;24829199600;,Evaluation of Sustainability Index of Water Distribution Network Using Demand-Driven and Pressure-Driven Analysis,2023,Journal of Water Resources Planning and Management,149,3,4023003,,,,,10.1061/JWRMD5.WRENG-5705,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146292285&doi=10.1061%2fJWRMD5.WRENG-5705&partnerID=40&md5=093199981102c65fe02832b9c1129cc8,Article,Final,,Scopus,2-s2.0-85146292285
"Briceño-León, C.X., Iglesias-Rey, P.L., Martínez-Solano, F.J., Creaco, E.",57222077149;15220062200;15220688300;56037591400;,"Integrating Demand Variability and Technical, Environmental, and Economic Criteria in Design of Pumping Stations Serving Closed Distribution Networks",2023,Journal of Water Resources Planning and Management,149,3,04023002-1,,,,1,10.1061/JWRMD5.WRENG-5813,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145881626&doi=10.1061%2fJWRMD5.WRENG-5813&partnerID=40&md5=3c476ce756e2c8145d2e9c5df6a563c6,Article,Final,,Scopus,2-s2.0-85145881626
"Berglund, E.Z., Shafiee, M.E., Xing, L., Wen, J.",56394090200;36188902500;58046124900;58046096600;,Digital Twins for Water Distribution Systems,2023,Journal of Water Resources Planning and Management,149,3,2523001,,,,,10.1061/JWRMD5.WRENG-5786,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145879188&doi=10.1061%2fJWRMD5.WRENG-5786&partnerID=40&md5=732a40110196943c2edc9c6cbe635858,Review,Final,,Scopus,2-s2.0-85145879188
"Grigg, N.S.",7005653169;,How State Governments Plan and Integrate Water Resources Management Programs,2023,Journal of Water Resources Planning and Management,149,3,4023001,,,,,10.1061/JWRMD5.WRENG-5925,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145775947&doi=10.1061%2fJWRMD5.WRENG-5925&partnerID=40&md5=2cf364ebec1fdba44132b8ce9a03f566,Article,Final,,Scopus,2-s2.0-85145775947
"McCoy, A.L., Pitt, J., Wilson, J.K., Martin, S., Morton, J.",16744055300;35238275200;57225986933;57200650811;57845261400;,A Survey of the Bureau of Reclamation's Decree Accounting Reports in the Lower Colorado River Basin,2023,Journal of Water Resources Planning and Management,149,3,4022085,,,,,10.1061/(ASCE)WR.1943-5452.0001626,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145171198&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001626&partnerID=40&md5=f3d22d4655ffe54913ae45af228ea371,Article,Final,,Scopus,2-s2.0-85145171198
"Gorelick, D.E., Gold, D.F., Asefa, T., Svrdlin, S., Wang, H., Wanakule, N., Reed, P.M., Characklis, G.W.",57202629628;57211800828;8404132000;58027857400;57218524336;56619616000;7202010819;6603397589;,Water Supply Infrastructure Investments RequireAdaptive Financial Assessment: Evaluation of Coupled Financial and Water Supply Dynamics,2023,Journal of Water Resources Planning and Management,149,3,4022084,,,,,10.1061/JWRMD5.WRENG-5863,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144598862&doi=10.1061%2fJWRMD5.WRENG-5863&partnerID=40&md5=2e606008a33a5ef4f14ea181dd8068f8,Article,Final,,Scopus,2-s2.0-85144598862
"Richter, B.D.",7101774925;,Decoupling Urban Water Use from Population Growth in the Colorado River Basin,2023,Journal of Water Resources Planning and Management,149,2,4022082,,,,,10.1061/JWRMD5.WRENG-5887,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144157535&doi=10.1061%2fJWRMD5.WRENG-5887&partnerID=40&md5=8c64ea23fda8b9ac5ca8c59df94d74b3,Article,Final,,Scopus,2-s2.0-85144157535
"Thomas, M., Sela, L.",57225822622;57201085040;,MAGNets: Model Reduction and Aggregation of Water Networks,2023,Journal of Water Resources Planning and Management,149,2,6022006,,,,,10.1061/JWRMD5.WRENG-5486,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144150488&doi=10.1061%2fJWRMD5.WRENG-5486&partnerID=40&md5=abf934dec15d55dac2db4247b193d9ad,Article,Final,,Scopus,2-s2.0-85144150488
"Lala, J., Regassa, M.D., Zhang, Y., You, L., Block, P.",57190973533;56091774800;56979564600;9743314500;17342246300;,Incorporating Seasonality into an Agroeconomic Model of Ethiopia,2023,Journal of Water Resources Planning and Management,149,2,5022018,,,,,10.1061/JWRMD5.WRENG-5785,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144111598&doi=10.1061%2fJWRMD5.WRENG-5785&partnerID=40&md5=a3e446ca8d3f536192abbf8df9b71bbe,Article,Final,,Scopus,2-s2.0-85144111598
"Hadjimichael, A., Yoon, J., Reed, P., Voisin, N., Xu, W.",57189333744;56661561700;7202010819;6507150303;57192212965;,Exploring the Consistency of Water Scarcity Inferences between Large-Scale Hydrologic and Node-Based Water System Model Representations of the Upper Colorado River Basin,2023,Journal of Water Resources Planning and Management,149,2,4022081,,,,,10.1061/JWRMD5.WRENG-5522,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143766390&doi=10.1061%2fJWRMD5.WRENG-5522&partnerID=40&md5=e800cfc7515cd16aa6359ed93406b78b,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85143766390
"Gedam, S., Pallam, H., Kambhammettu, B.V.N.P., Anupoju, V., Regonda, S.K.",57990604400;57990604500;41761598500;57218167044;6505577334;,Investigating the Accuracies in Short-Term Weather Forecasts and Its Impact on Irrigation Practices,2023,Journal of Water Resources Planning and Management,149,2,4022079,,,,,10.1061/JWRMD5.WRENG-5644,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143201796&doi=10.1061%2fJWRMD5.WRENG-5644&partnerID=40&md5=20edb2aeda3d8601d723944d456ba849,Article,Final,,Scopus,2-s2.0-85143201796
"Jin, X., Liu, B., Liao, S., Cheng, C., Zhao, Z., Zhang, Y.",57211749598;55544747900;12782177400;7404796475;57194652757;57194657525;,Robust Optimization for the Self-Scheduling and Bidding Strategies of a Hydroproducer Considering the Impacts of Crossing Forbidden Zones,2023,Journal of Water Resources Planning and Management,149,2,5022017,,,,,10.1061/JWRMD5.WRENG-5700,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142936324&doi=10.1061%2fJWRMD5.WRENG-5700&partnerID=40&md5=0b03b316286998b26e7367f62af2e67a,Article,Final,,Scopus,2-s2.0-85142936324
"Chakraborty, A., Prakash, O.",56437240100;57773872700;,Identification of Clandestine Groundwater Pollution Sources in Aquifer Polluted with BTEX,2023,Journal of Water Resources Planning and Management,149,2,4022080,,,,,10.1061/JWRMD5.WRENG-5078,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142930127&doi=10.1061%2fJWRMD5.WRENG-5078&partnerID=40&md5=9d2b08bab4c78b15d9086db81d7c88ab,Article,Final,,Scopus,2-s2.0-85142930127
"Rasmussen, D.J., Kopp, R.E., Oppenheimer, M.",54411035700;7102794612;7004870624;,Coastal Defense Megaprojects in an Era of Sea-Level Rise: Politically Feasible Strategies or Army Corps Fantasies?,2023,Journal of Water Resources Planning and Management,149,2,4022077,,,,,10.1061/(ASCE)WR.1943-5452.0001613,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142644986&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001613&partnerID=40&md5=640f6919a7ec03eb2b59857475115e29,Article,Final,,Scopus,2-s2.0-85142644986
"Anari, R., Gaston, T.L., Randle, T.J., Hotchkiss, R.H.",57216162027;57195421454;6603635955;26642910500;,New Economic Paradigm for Sustainable Reservoir Sediment Management,2023,Journal of Water Resources Planning and Management,149,2,4022078,,,,,10.1061/(ASCE)WR.1943-5452.0001614,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142615558&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001614&partnerID=40&md5=cbfe2ad00a0414d6178c33123e2e0f9c,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85142615558
"Ayati, A.H., Haghighi, A.",57185500100;30467660000;,Multiobjective Wrapper Sampling Design for Leak Detection of Pipe Networks Based on Machine Learning and Transient Methods,2023,Journal of Water Resources Planning and Management,149,2,4022076,,,,,10.1061/JWRMD5.WRENG-5620,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142540427&doi=10.1061%2fJWRMD5.WRENG-5620&partnerID=40&md5=ea462aefc8253e233328e4f85758f6f3,Article,Final,,Scopus,2-s2.0-85142540427
"Do, N.C., Dix, L., Lambert, M.F., Stephens, M.L.",55837383300;57219557503;24923543300;8706283400;,Proactive Detection of Wastewater Overflows for Smart Sanitary Sewer Systems: Case Study in South Australia,2023,Journal of Water Resources Planning and Management,149,1,5022016,,,,,10.1061/JWRMD5.WRENG-5589,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142540659&doi=10.1061%2fJWRMD5.WRENG-5589&partnerID=40&md5=d9c74f498d34be6a86d2661175802d2a,Article,Final,,Scopus,2-s2.0-85142540659
"Chu-Ketterer, L.-J., Murray, R., Hassett, P., Kogan, J., Klise, K., Haxton, T.",57980152700;35409986100;57194210748;57980347200;14121461300;57934156600;,Performance and Resilience Analysis of a New York Drinking Water System to Localized and System-Wide Emergencies,2023,Journal of Water Resources Planning and Management,149,1,05022015-1,,,,,10.1061/JWRMD5.WRENG-5631,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142532838&doi=10.1061%2fJWRMD5.WRENG-5631&partnerID=40&md5=29c847a7f48da7ae19580070b015ac11,Article,Final,,Scopus,2-s2.0-85142532838
"Zubaidi, S.L., Al-Bdairi, N.S.S., Ortega-Martorell, S., Ridha, H.M., Al-Ansari, N., Al-Bugharbee, H., Hashim, K., Gharghan, S.K.",57201458677;57193497463;36090096200;57214138178;51664437800;56433632700;57192553960;56278025400;,Assessing the Benefits of Nature-Inspired Algorithms for the Parameterization of ANN in the Prediction of Water Demand,2023,Journal of Water Resources Planning and Management,149,1,4022075,,,,,10.1061/(ASCE)WR.1943-5452.0001602,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142293744&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001602&partnerID=40&md5=d72ca5ddd6e6ccb47cc993cf60670c50,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85142293744
"Josey, B.M., Buchberger, S.G., Gong, J.",57963641000;7004042155;55355613100;,Comparing Actual and Designed Water Demand in Australian Multilevel Residential Buildings,2023,Journal of Water Resources Planning and Management,149,1,5022013,,,,,10.1061/(ASCE)WR.1943-5452.0001625,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141835279&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001625&partnerID=40&md5=3366e2b96a2ee6b2cff3062ee38660f0,Article,Final,,Scopus,2-s2.0-85141835279
"Trapiello, C., Romero-Ben, L., Meseguer, J., Puig, V., Cembrano, G., Joseph-Duran, B., Sarrias, M., Saporta, D., Minoves, M.",57208344081;57313673000;23569610900;35238237400;6603334273;55908758900;57873253600;36128954600;36192262800;,Automatic Network Response Methodology for Failure Recovery or Bursts in Drinking Water Networks,2023,Journal of Water Resources Planning and Management,149,1,4022073,,,,,10.1061/(ASCE)WR.1943-5452.0001634,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141829570&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001634&partnerID=40&md5=907f43af8b672f8fed0a5bc7c068c159,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85141829570
"Watkins, D.W.",35581026600;,Editor's Note,2023,Journal of Water Resources Planning and Management,149,1,1622001,,,,,10.1061/JWRMD5/WRENG-5971,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141822538&doi=10.1061%2fJWRMD5%2fWRENG-5971&partnerID=40&md5=0e00038d694b45a7c17c6c664cea6585,Editorial,Final,"All Open Access, Bronze",Scopus,2-s2.0-85141822538
